id;nom;population;longitude;latitude
vieu-d-izenave;VIEU-D'IZENAVE;693;5,53333;46,0833
toussieux;TOUSSIEUX;769;4,83333;45,9667
arbigny;ARBIGNY;399;4,96667;46,4667
malafretaz;MALAFRETAZ;952;5,15;46,3167
samognat;SAMOGNAT;718;5,58333;46,25
cras-sur-reyssouze;CRAS-SUR-REYSSOUZE;1256;5,16667;46,3
messimy-sur-saone;MESSIMY-SUR-SAONE;1209;4,76473;46,0484
pougny-01;POUGNY;802;5,95;46,1333
sandrans;SANDRANS;524;4,98333;46,0667
pont-de-veyle;PONT-DE-VEYLE;1593;4,88333;46,2667
mijoux;MIJOUX;379;6;46,3667
saint-jean-de-gonville;SAINT-JEAN-DE-GONVILLE;1496;5,95;46,2167
saint-andre-le-bouchoux;SAINT-ANDRE-LE-BOUCHOUX;316;5,08333;46,1167
chaneins;CHANEINS;820;4,85;46,1
joyeux;JOYEUX;223;5,1;45,95
tramoyes;TRAMOYES;1674;4,96667;45,8667
biziat;BIZIAT;797;4,93333;46,2167
izenave;IZENAVE;164;5,53333;46,0333
belmont-luthezieu;BELMONT-LUTHEZIEU;514;5,66167;45,8795
arbent;ARBENT;3476;5,68333;46,3
sutrieu;SUTRIEU;235;5,65;45,95
serrieres-de-briord;SERRIERES-DE-BRIORD;1174;5,45445;45,8081
aranc;ARANC;302;5,5;46
chaley;CHALEY;127;5,53333;45,95
curciat-dongalon;CURCIAT-DONGALON;456;5,15;46,4667
loyettes;LOYETTES;2645;5,2;45,7667
gex;GEX;10372;6,06667;46,3333
courtes;COURTES;266;5,1;46,4667
bereziat;BEREZIAT;445;5,05;46,3667
lapeyrouse-01;LAPEYROUSE;292;4,96667;45,9833
apremont-01;APREMONT;363;5,65833;46,2083
villieu-loyes-mollon;VILLIEU-LOYES-MOLLON;3095;5,22223;45,9206
leyment;LEYMENT;1273;5,3;45,9167
etrez;ETREZ;803;5,18333;46,3333
gercy;GERCY;295;3,86667;49,8167
villemontoire;VILLEMONTOIRE;210;3,33333;49,3
brancourt-le-grand;BRANCOURT-LE-GRAND;619;3,38333;49,9667
licy-clignon;LICY-CLIGNON;87;3,26667;49,1
proisy;PROISY;318;3,73333;49,9
chambry-02;CHAMBRY;718;3,65;49,6
mont-saint-jean-02;MONT-SAINT-JEAN;80;4,2;49,7833
morgny-en-thierache;MORGNY-EN-THIERACHE;110;4,06667;49,7667
mesnil-saint-laurent;MESNIL-SAINT-LAURENT;450;3,35;49,8333
annois;ANNOIS;383;3,16667;49,7167
brunehamel;BRUNEHAMEL;538;4,18333;49,7667
audignicourt;AUDIGNICOURT;102;3,13333;49,4833
montigny-sur-crecy;MONTIGNY-SUR-CRECY;309;3,58333;49,7167
lor;LOR;142;4,05;49,5333
chivres-en-laonnois;CHIVRES-EN-LAONNOIS;367;3,85;49,6333
saint-gobain;SAINT-GOBAIN;2337;3,38333;49,6
ugny-le-gay;UGNY-LE-GAY;163;3,16667;49,6667
happencourt;HAPPENCOURT;148;3,18333;49,7833
prouvais;PROUVAIS;379;3,98333;49,4667
azy-sur-marne;AZY-SUR-MARNE;387;3,36667;49
terny-sorny;TERNY-SORNY;304;3,36667;49,45
droizy;DROIZY;75;3,38333;49,2833
pignicourt;PIGNICOURT;164;4,03333;49,4167
moussy-verneuil;MOUSSY-VERNEUIL;127;3,63333;49,4167
aguilcourt;AGUILCOURT;349;3,96667;49,4
montaigu-02;MONTAIGU;732;3,83333;49,5333
moulins-02;MOULINS;99;3,68333;49,4167
saulchery;SAULCHERY;658;3,3;48,9833
nanteuil-la-fosse;NANTEUIL-LA-FOSSE;147;3,45;49,4333
guignicourt;GUIGNICOURT;2111;3,96667;49,4333
bucy-le-long;BUCY-LE-LONG;1955;3,38333;49,4
longpont;LONGPONT;294;3,21667;49,2667
montgobert;MONTGOBERT;198;3,15;49,3
noircourt;NOIRCOURT;90;4,1;49,6667
rozet-saint-albin;ROZET-SAINT-ALBIN;286;3,3;49,2
chivy-les-etouvelles;CHIVY-LES-ETOUVELLES;503;3,58333;49,5167
chavonne;CHAVONNE;193;3,56667;49,4
artonges;ARTONGES;184;3,55;48,9333
oisy-02;OISY;428;3,66667;50,0167
juvigny-02;JUVIGNY;280;3,31667;49,45
marchais-en-brie;MARCHAIS-EN-BRIE;275;3,48333;48,8833
bouconville-vauclair;BOUCONVILLE-VAUCLAIR;181;3,75556;49,4656
bouteille;LA BOUTEILLE;502;3,96667;49,8667
ly-fontaine;LY-FONTAINE;120;3,3;49,7167
logny-les-aubenton;LOGNY-LES-AUBENTON;77;4,2;49,8333
cuirieux;CUIRIEUX;161;3,81667;49,6833
iron;IRON;222;3,66667;49,95
joncourt;JONCOURT;322;3,3;49,95
effry;EFFRY;353;4;49,9333
jumigny;JUMIGNY;69;3,71667;49,4167
chaourse;CHAOURSE;535;4;49,7
